paper_key,title,field,matched_pred_count,pred_count,gold_count,unsupported_predictions,missed_gold_values
id:paper_001,NeuralPLexer3: Accurate Biomolecular Complex Structure Prediction with Flow Models,task,3,4,5,generalized biomolecular complex structure prediction,protein-ligand complex structure prediction | confidence estimation for predicted biomolecular complexes
id:paper_001,NeuralPLexer3: Accurate Biomolecular Complex Structure Prediction with Flow Models,datasets,7,7,8,,recent PDB bioassemblies / low-homology post-2023 PDB evaluation set
id:paper_001,NeuralPLexer3: Accurate Biomolecular Complex Structure Prediction with Flow Models,models_or_methods,7,8,11,conditional flow matching,continuous normalizing flow | flow-based encoder-decoder structure prediction model | informative globular polymer prior | Langevin dynamics prior relaxation
id:paper_001,NeuralPLexer3: Accurate Biomolecular Complex Structure Prediction with Flow Models,metrics,7,12,13,number of sampling steps / convergence speed | pocket all-atom RMSD | PoseBusters pass rate / physical validity | sequence recovery | GPU memory,ligand stereochemistry accuracy | LDDT | TM-score | pLDDT | pDockQ | bb_LDDT
id:paper_002,FlowDock: Geometric Flow Matching for Generative Protein-Ligand Docking and Affinity Prediction,task,4,11,5,flexible protein-ligand docking | pocket-based flexible docking | binding pose prediction | joint residue-type and ligand-pose generation | blind self-docking | cross-domain docking generalization evaluation | confidence estimation for predicted biomolecular complexes,apo-to-holo protein-ligand structure generation
id:paper_002,FlowDock: Geometric Flow Matching for Generative Protein-Ligand Docking and Affinity Prediction,datasets,8,9,8,PoseBusters,
id:paper_002,FlowDock: Geometric Flow Matching for Generative Protein-Ligand Docking and Affinity Prediction,models_or_methods,7,12,13,harmonic self-conditioned flow matching | self-conditioned flow matching | generative flow matching model | continuous normalizing flow | harmonic prior,FlowDock | hybrid structure-and-affinity prediction model | apo-to-holo structure generation | fine-tuned NeuralPLexer architecture | VD-ODE sampler | binding affinity head
id:paper_002,FlowDock: Geometric Flow Matching for Generative Protein-Ligand Docking and Affinity Prediction,metrics,10,10,14,,binding pocket conformation RMSD | Pearson correlation | Spearman correlation | CASP16 affinity-ranking position
id:paper_003,Harmonic Self-Conditioned Flow Matching for joint Multi-Ligand Docking and Binding Site Design,task,3,4,6,binding pose prediction,multi-ligand docking | 3D protein-ligand binding structure generation | joint residue-type and ligand-pose generation
id:paper_003,Harmonic Self-Conditioned Flow Matching for joint Multi-Ligand Docking and Binding Site Design,datasets,3,3,5,,PDBBind time split | Binding MOAD
id:paper_003,Harmonic Self-Conditioned Flow Matching for joint Multi-Ligand Docking and Binding Site Design,models_or_methods,8,11,11,harmonic self-conditioned flow matching | conditional flow matching | Riemannian flow matching,joint discrete-continuous flow | fake-ligand data augmentation | invariant graph attention network
id:paper_003,Harmonic Self-Conditioned Flow Matching for joint Multi-Ligand Docking and Binding Site Design,metrics,4,6,7,inference time | Dice,RMSD | fraction of predictions with RMSD < 2 Å | fraction of predictions with RMSD < 5 Å
id:paper_004,Composing Unbalanced Flows for Flexible Docking and Relaxation,task,2,4,6,molecular docking | cross-domain docking generalization evaluation,flexible protein-ligand docking | pocket-based flexible docking | apo-to-holo conformational change modeling | generation of energetically favorable / physically valid docking poses
id:paper_004,Composing Unbalanced Flows for Flexible Docking and Relaxation,datasets,2,2,3,,PDBBind
id:paper_004,Composing Unbalanced Flows for Flexible Docking and Relaxation,models_or_methods,7,9,10,continuous normalizing flow | conditional flow matching,manifold docking flow / manifold Unbalanced FM | Euclidean relaxation flow / structure relaxation Unbalanced FM | SE(3) and side-chain torsion flow
id:paper_004,Composing Unbalanced Flows for Flexible Docking and Relaxation,metrics,6,9,10,PoseBusters validity | inference time | RMSD < 2 Å success rate,ligand RMSD | median ligand RMSD | percentage of all-atom RMSD < 1 Å | PB-valid
id:paper_005,ForceFM: Enhancing Protein-Ligand Predictions through Force-Guided Flow Matching,task,4,4,7,,molecular docking | blind self-docking | cross-domain docking generalization evaluation
id:paper_005,ForceFM: Enhancing Protein-Ligand Predictions through Force-Guided Flow Matching,datasets,3,3,4,,PDBBind
id:paper_005,ForceFM: Enhancing Protein-Ligand Predictions through Force-Guided Flow Matching,models_or_methods,6,9,11,conditional flow matching | Riemannian flow matching | force-guidance network,energy-guided generation | Vina-guided generation | Glide-guided generation | Gnina-guided generation | RDKit ETKDG conformer initialization
id:paper_005,ForceFM: Enhancing Protein-Ligand Predictions through Force-Guided Flow Matching,metrics,8,8,13,,RMSD ≤ 2 Å success rate | RMSD percentiles | centroid distance | mean centroid distance | centroid distance ≤ 2 Å
